nomor,soal,A,B,C,D,E
1,"Sebuah penelitian menyimpulkan bahwa semua mahasiswa yang aktif dalam organisasi kampus memiliki kemampuan manajemen waktu yang baik. Sebagian mahasiswa yang memiliki kemampuan manajemen waktu yang baik juga meraih IP di atas 3,5. Tidak satu pun mahasiswa dengan IP di bawah 3,0 memiliki kemampuan manajemen waktu yang baik. Simpulan yang pasti benar adalah","Tidak satu pun mahasiswa aktif organisasi meraih IP di atas 3,5","Semua mahasiswa dengan IP di atas 3,5 aktif organisasi","Tidak ada mahasiswa dengan IP di bawah 3,0 yang aktif organisasi","Tidak ada mahasiswa aktif organisasi memiliki IP tidak di atas 3,5","Semua mahasiswa tidak aktif organisasi memiliki IP di bawah 3,0"
2,"Jika tersangka tidak berada di TKP maka ia memiliki alibi kuat terverifikasi. Jika berada di TKP maka sidik jari ditemukan. Jika Tersangka A berada di TKP maka simpulan pasti benar adalah","Tersangka A tidak memiliki alibi kuat","Sidik jari Tersangka A ditemukan di lokasi","Tersangka A memiliki alibi kuat","Tersangka A tidak memiliki alibi kuat dan sidik jari ditemukan","Tersangka A memiliki alibi kuat namun sidik jari ditemukan"
3,"Promotor menyatakan tiket konser RIIZE ludes karena promosi TikTok masif. Pernyataan yang memperkuat adalah","Harga tiket lebih murah","Sebagian besar pembeli mengetahui konser dari challenge viral TikTok","RIIZE menang penghargaan artis terbaik","Banyak gagal beli karena situs error","Promosi juga lewat baliho"
4,"Kapal kargo melebihi kapasitas tetapi harus melewati terusan sempit. Tindakan paling tepat adalah","Memperkuat lambung kapal","Mempercepat laju kapal","Koordinasi dengan menara pengawas","Tidak perlu mengikuti aturan","Memindahkan sebagian muatan ke kapal lain"
5,"Bus Transjakarta hanya boleh di jalur khusus kiri. Mobil pribadi dilarang masuk kecuali menyalip. Jika mobil pribadi berada di jalur bus maka","Mobil melanggar aturan","Mobil adalah bus","Mobil tidak mengganggu","Mobil sedang menyalip","Mobil dalam keadaan darurat"
6,"Program Jumat Bersih dianggap meningkatkan kebersihan sekolah. Pernyataan yang melemahkan adalah","Siswa kelas 12 tidak ikut kegiatan","Sekolah tidak menambah petugas kebersihan","Beberapa siswa membawa bekal dari rumah","Siswa senang karena jam pelajaran berkurang","Sekolah lain tanpa program memiliki kebersihan sama"
7,"Musim hujan berdampak positif bagi banyak sektor namun sebagian wilayah pertanian gagal panen karena banjir. Pernyataan pasti benar adalah","Semua sektor mengalami dampak negatif","Perkebunan dan SDA lebih besar dari pertanian","Pertanian satu-satunya sektor negatif","Perkebunan dan SDA tidak mengalami dampak negatif","Musim hujan berdampak negatif pada sebagian wilayah pertanian"
8,"Program Pojok Baca dianalogikan seperti suplemen vitamin untuk wawasan siswa. Simpulan paling mungkin benar adalah","Kualitas akademik tidak membaik jika tidak ada pojok baca","Fisik tidak sehat mengganggu analisis","Pojok baca seperti vitamin meningkatkan wawasan","Rendahnya kualitas akademik ditandai banyak pojok baca","Jika diterapkan maka penurunan daya saing dicegah"
9,"Abyaz memilih klub catur karena lebih murah dibanding robotik. Pernyataan yang memperkuat keputusan adalah","Abyaz sering menang lomba kreativitas","Jadwal catur lebih fleksibel","Abyaz ingin membeli laptop baru","Teman memilih robotik","Biaya robotik turun"
10,"Randi harus memilih satu fokus latihan: beban, maraton, atau yoga. Pernyataan paling tepat adalah","Memilih satu latihan memberi semua kemampuan sekaligus","Dapat melakukan dua latihan sekaligus","Jika tidak maraton napas memburuk","Jika memilih satu latihan maka salah satu kemampuan meningkat","Jika tubuh lentur berarti mengikuti dua latihan"
11,"Program Duta Literasi menuntut menulis resensi bulanan. Tahun ini peminjam buku meningkat tetapi sedikit yang memenuhi target. Pernyataan paling mungkin benar adalah","Tidak meminjam buku pasti prestasi tidak stabil","Peminjam buku selalu meningkatkan duta literasi","Sebagian siswa aktif perpustakaan tidak mendapat penghargaan","Menulis resensi satu-satunya faktor prestasi","Tahun depan syarat diturunkan"
12,"Siswa mengunggah video belajar aesthetic untuk mendapat pengakuan. Pernyataan yang mendasari argumen adalah","Siswa punya tugas lebih berat","Media sosial satu-satunya tempat bakat","Teknik aesthetic meningkatkan nilai","Guru mewajibkan dokumentasi","Penilaian orang lain memotivasi perilaku digital"
13,"Ahli A: transportasi publik kota P lebih efisien dari Q. Fakta: waktu tempuh di Q lebih singkat. Hubungan fakta adalah","Memperkuat Ahli A","Memperlemah Ahli A","Memperkuat Ahli B","Memperlemah Ahli B","Tidak relevan"
14,"Fotografer awalnya menghasilkan foto tajam tetapi setelah 3 bulan foto blur dan warna tidak konsisten. Penjelasan paling mungkin adalah","Mode manual digunakan","Jarang memakai tripod","Objek bergerak cepat","Sensor sensitif suhu","Lensa berdebu atau berjamur"
15,"Pengguna transportasi umum naik dari 35% menjadi 58%. Pernyataan benar adalah","Hampir separuh siswa memakai transportasi umum","Jumlah pengguna meningkat 23%","42% siswa belum menggunakan transportasi umum","Program hanya berdampak pada keluarga rendah","Transportasi pribadi turun 23%"
